sample_id,article_count,ticker,target_date,label,sentiment_score,car_0_0,car_0_1,car_0_3
fae545d4f5a64c2b_00,2,ACB,2022-10-03,neutral,0.0,1.0539747253090148,-1.0396490325909449,-5.7061637034189285
408f8c45538b5bce_00,1,ACB,2022-10-17,neutral,0.0,1.361759140550894,2.406005709484072,2.6263958684296043
6cd1591e6a67c77c_00,1,ACB,2022-10-24,neutral,0.0,-1.4258495223332899,2.011102196926428,6.872887898235611
2f37d56c464d8c66_00,1,ACB,2022-10-25,negative,-1.0,3.436951719259718,4.9765956167953185,9.489789171197135
b065e2aa5227fc34_01,1,AMD,2022-10-19,neutral,0.0,-5.845147969542889,-11.786277174670218,-13.544292129241018
92c3efdfbb6bba55_00,1,BID,2022-10-13,negative,-1.0,4.0148849799583655,4.103208129491267,2.937905931960703
c2b3c445bf237a08_00,1,BID,2022-10-21,neutral,0.0,3.4245678226239393,0.866101793693848,3.9176126615864217
74675620a9a3c7fc_00,1,BID,2022-10-25,neutral,0.0,1.3048112888194483,3.0515108678925738,4.382731921604349
7a3057053dd0eb00_00,1,BID,2022-10-26,neutral,0.0,1.7466995790731255,3.4422730156298935,5.07659288725991
3fdd87ffa5adf6b9_00,1,BID,2022-10-28,neutral,0.0,-0.3643523828449923,1.6343198716300162,-0.49160787163555697
fe0ac45a7bd9bb4c_00,1,BID,2022-10-31,neutral,0.0,1.9986722544750086,-0.41917586900504444,-1.9054377469235646
17ee021b664d02e0_00,1,CEN,2022-10-14,neutral,0.0,7.792191442892149,11.278181039255342,14.921247500118431
376ea8fcae7e31d9_00,1,CTG,2022-10-06,neutral,0.0,1.087622499212324,-0.7868017025195955,2.4586607056669263
525b2f94fa2edcd0_00,1,CTG,2022-10-26,neutral,0.0,0.30999914288804703,1.9937116275920608,4.469586967977676
6a7e5a319e176cd5_01,1,DGC,2022-10-17,neutral,0.0,5.679392176823535,1.974578843075613,-0.8546983369120267
8df684ae5dbb93ad_00,1,DGC,2022-10-20,positive,1.0,-3.4373457938006533,-4.5608469781887795,1.6424349980279138
3e6bbb9bf5019dc7_00,1,DGC,2022-10-26,positive,1.0,2.4813627607453776,0.5637012426815966,-1.9846359448807331
f4180ebfed4d1c9b_01,1,DIG,2022-10-05,neutral,0.0,1.5704384062473773,2.276580425816907,5.053111239116939
7786c856c02df086_00,1,DIG,2022-10-17,neutral,0.0,-2.2870368821851903,2.606556466798266,0.3763056612948614
61862c762fe24720_00,1,DIG,2022-10-18,neutral,0.0,4.893593348983456,5.2944796413762285,2.2719127702282167
22e8b8b2ee0eac43_00,1,DNP,2022-10-31,positive,1.0,-0.04798239088811616,-0.09317804966832274,1.0554031227519793
519649c002d64841_01,1,DXG,2022-10-17,neutral,0.0,-2.38331448226066,2.0104241362036093,-1.6214850558572378
5ccc1086c10162cd_00,1,DXG,2022-10-25,neutral,0.0,-8.877497634583804,-15.073186277702249,-8.99523508327641
384c14104b04db10_00,1,EIB,2022-10-05,neutral,0.0,6.203523287771712,12.57601610430202,13.34825802832354
376ea8fcae7e31d9_01,1,EIB,2022-10-06,neutral,0.0,6.3724928165303085,7.408714821903792,6.9605899787997805
6eb44ff8eb1a02ed_00,1,EIB,2022-10-07,neutral,0.0,1.0362220053734832,0.7722419240215194,0.002160715702129279
14410591380ca71c_00,1,EIB,2022-10-31,neutral,0.0,-6.463401330424442,-9.457106960908929,-12.413384921250174
ceedec260e0d832f_02,1,FTS,2022-10-06,neutral,0.0,-1.373462233447289,-2.0147385777487186,2.6704318604635233
fe02bc42e5dca66d_00,1,FTS,2022-10-21,neutral,0.0,-0.40725817506935336,-1.4228766730252014,-12.857443375713956
a1f1f5575046fa1c_00,1,GAS,2022-10-05,neutral,0.0,-1.9640203648415735,0.7611251336620168,2.8394343064841254
e2d77f9d568f21a7_00,1,GAS,2022-10-12,neutral,0.0,-2.517490536596121,-3.549431587181844,-0.8879182096429359
08848f339a0d0496_00,1,GAS,2022-10-24,neutral,0.0,3.520481995178785,1.9906119178799215,0.7650362135528614
519649c002d64841_02,1,GEX,2022-10-17,neutral,0.0,2.717067985505702,-0.20459079132570057,-5.073450742351691
8e47ef867a1ac9aa_01,2,GEX,2022-10-27,neutral,0.0,0.443390410044711,2.5949345132209247,6.16472399382684
70e3a7e965017df4_02,2,GEX,2022-10-31,neutral,0.5,4.522336559133879,3.569789480605915,3.0952006266902026
d85d7e478892d981_00,1,HAG,2022-10-10,neutral,0.0,2.0373000137251815,-1.4698829661528237,-11.695136260432562
cff0dcaaa91ceaa9_00,1,HAG,2022-10-13,neutral,0.0,0.5733598811078222,0.46912706363659185,-3.3672726576506546
789286c8f37f24e5_00,1,HAG,2022-10-17,negative,-1.0,-5.427743224570152,-3.836399721287246,-11.96943173021501
d2f2dc9233eb3308_00,1,HAG,2022-10-25,positive,1.0,0.4795930800219059,-3.218742067551284,-3.399939199954345
a2e7f601551d76d3_00,2,HAG,2022-10-27,positive,0.5,2.383841297333217,-0.181197132403061,-5.603691267958318
