,coef,std_err,p_value
Intercept,-0.2802750815278066,1.1866064144212294,0.8132783646242376
C(ticker)[T.AMD],-5.297457551722533,14.256530202221677,0.7102047434254838
C(ticker)[T.BID],1.6385888450625536,1.7063376953602778,0.33690638603529444
C(ticker)[T.CEN],2.406926040471853,2.2223797597315142,0.2787906957069546
C(ticker)[T.CTG],1.1301358883516044,2.3490269872296827,0.6304396782661514
C(ticker)[T.DGC],0.6507104859459882,2.976221645131424,0.8269332694776069
C(ticker)[T.DIG],-0.9622474952389062,3.6341435668109123,0.791179164976134
C(ticker)[T.DNP],-1.3602171188425487,10.35609207787688,0.8955026851393253
C(ticker)[T.DXG],-7.700217440155384,4.22632021444189,0.06845993992121266
C(ticker)[T.EIB],1.5188213059049798,4.563950971016936,0.7392954434485417
C(ticker)[T.FTS],0.1321899299255053,1.8761892080262421,0.9438302354767842
C(ticker)[T.GAS],-0.9506153921457109,3.647742815130051,0.7943981111471659
C(ticker)[T.GEX],0.21405970949379738,2.000269249026403,0.9147767245256808
C(ticker)[T.HAG],-2.6198190071624805,1.9800091091962895,0.1857905452011841
C(ticker)[T.HBC],-0.4331559163615787,6.602598306401342,0.9476932181397527
C(ticker)[T.HCM],-0.3414889138503455,2.815842451421167,0.9034738902429869
C(ticker)[T.HDB],2.087216749093944,36.56901759994916,0.9544845782228135
C(ticker)[T.HDC],-5.937419502782354,2.491576171344083,0.01717231627791564
C(ticker)[T.HPG],-0.6630457135220477,1.504228513108202,0.6593665608228448
C(ticker)[T.HSG],-7.533988441965411,10.122710080871247,0.4567155960865906
C(ticker)[T.ICT],-0.7349911150018075,2.1510705848090423,0.7325870652049029
C(ticker)[T.ITA],-2.245503356617379,1.3422687600830896,0.09434376437740655
C(ticker)[T.KBC],-1.8415526085792266,1.3364076476235223,0.16820724564312173
C(ticker)[T.LHG],-3.5512788792540113,4.981604544711594,0.47592093149223624
C(ticker)[T.LPB],2.055492868207476,2.118630858572817,0.3319474672025744
C(ticker)[T.MBS],-0.5022997342957575,1.8205529103694418,0.7826209982246966
C(ticker)[T.MSH],0.3561717993342697,5.43254475876609,0.9477260599841135
C(ticker)[T.MWG],-3.4896147393634522,1.3125711838337717,0.007846375613266895
C(ticker)[T.NKG],-7.4477831132964045,1.706957476276632,1.2817838625967101e-05
C(ticker)[T.NVL],-0.17977034472691206,1.668175831812905,0.9141824037410877
C(ticker)[T.OCB],-0.6911071964956828,1.363776875779928,0.612323417577138
C(ticker)[T.PNJ],-2.794492863729897,2.109212268354941,0.18520470942916567
C(ticker)[T.POW],-0.31766925340044966,1.5848135321599366,0.841131924705226
C(ticker)[T.PVD],4.316658860253393,12.110364557905877,0.7215085729890687
C(ticker)[T.REE],-0.5713180718484319,1.6875509165837292,0.7349497773773681
C(ticker)[T.SAB],1.5371434139987232,2.1982823454552425,0.48439737614992284
C(ticker)[T.SHB],0.7915934128485986,1.3222174308254548,0.54938211922896
C(ticker)[T.SSI],-0.07849695739648706,1.5112630793970938,0.9585754721417462
C(ticker)[T.STB],1.4646450703129734,9.162027826082264,0.8729910746830364
C(ticker)[T.TCB],-0.4559316732677373,2.343009959096317,0.8457121394233408
C(ticker)[T.TGG],-2.0821728147825014,1.5985776134925582,0.1927400742684714
C(ticker)[T.TNI],-1.3341283190119944,1.6644674276205085,0.4228221921354858
C(ticker)[T.VCB],-4.310871213459974,1.9044208001716425,0.02359794268658779
C(ticker)[T.VIC],0.4284394398036011,2.4304201000009797,0.8600723625118601
C(ticker)[T.VIX],-2.047611744767829,2.6596106018010897,0.4413642231711469
C(ticker)[T.VND],-2.0885073938412324,1.4333669640940427,0.14509871619904216
C(ticker)[T.VNM],-2.209013957927283,1.503328254542239,0.1417201042383589
C(ticker)[T.VPB],0.849503378098942,6.010800240526466,0.8876096477770057
C(ticker)[T.VPS],-2.3774199901374864,2.140658830979205,0.2667396992872507
C(ticker)[T.VRE],1.1186841393027624,6.210797425511962,0.857058954853593
C(ticker)[T.VVS],9.17390204661927,8.139897402621397,0.2597301360043721
C(target_date)[T.Timestamp('2022-10-04 00:00:00')],-1.7658612764087598,2.512439270765728,0.4821508870494662
C(target_date)[T.Timestamp('2022-10-05 00:00:00')],0.7432950445442906,1.9522268071149955,0.7033945843403003
C(target_date)[T.Timestamp('2022-10-06 00:00:00')],-1.7639029112167066,2.0150933537663853,0.38138594090095257
C(target_date)[T.Timestamp('2022-10-07 00:00:00')],-0.5155597051019228,1.1605251178361566,0.6568640754538185
C(target_date)[T.Timestamp('2022-10-10 00:00:00')],1.9148785359014928,1.0443052845750522,0.06670765046720141
C(target_date)[T.Timestamp('2022-10-11 00:00:00')],-3.7896740650505367,1.3529965462220295,0.005095260090433025
C(target_date)[T.Timestamp('2022-10-12 00:00:00')],-0.67585577426378,1.7647406359470639,0.7017365237061364
C(target_date)[T.Timestamp('2022-10-13 00:00:00')],0.6902199204402063,1.3987999736374381,0.6217037140045716
C(target_date)[T.Timestamp('2022-10-14 00:00:00')],4.644665326057673,1.6437294994135039,0.0047179318238922624
C(target_date)[T.Timestamp('2022-10-17 00:00:00')],2.097241237696593,0.9322307016686998,0.024467870959664018
