ticker,target_date,label,sentiment_score,negative_share,positive_share,neutral_share,article_count,return,market_return,expected_return,abnormal_return,event_rows,log_article_count
ACB,2022-10-03,neutral,0.0,0.0,0.0,1.0,2,-2.801810024957088,-4.117685220911394,-3.855784750266103,1.0539747253090148,2,1.0986122886681098
ACB,2022-10-17,neutral,0.0,0.0,0.0,1.0,1,0.47371002842692955,-0.971887485170393,-0.8880491121239644,1.361759140550894,1,0.6931471805599453
ACB,2022-10-24,neutral,0.0,0.0,0.0,1.0,1,-4.564284284487116,-3.3572947267802746,-3.1384347621538264,-1.4258495223332899,1,0.6931471805599453
ACB,2022-10-25,negative,-1.0,1.0,0.0,0.0,1,4.564284284487114,1.1644157069949188,1.1273325652273956,3.436951719259718,1,0.6931471805599453
AMD,2022-10-19,neutral,0.0,0.0,0.0,1.0,1,-7.031649841745984,-0.3380847301222812,-1.186501872203094,-5.845147969542889,1,0.6931471805599453
BID,2022-10-13,negative,-1.0,1.0,0.0,0.0,1,6.349835216931064,1.5514742115514746,2.334950236972699,4.0148849799583655,1,0.6931471805599453
BID,2022-10-21,neutral,0.0,0.0,0.0,1.0,1,-1.6769031058468862,-3.7179432686273985,-5.1014709284708255,3.4245678226239393,1,0.6931471805599453
BID,2022-10-25,neutral,0.0,0.0,0.0,1.0,1,3.0935284618194703,1.1644157069949188,1.788717173000022,1.3048112888194483,1,0.6931471805599453
BID,2022-10-26,neutral,0.0,0.0,0.0,1.0,1,1.2769149616534505,-0.4359493810874788,-0.46978461741967503,1.7466995790731255,1,0.6931471805599453
BID,2022-10-28,neutral,0.0,0.0,0.0,1.0,1,-0.3081666537408112,-0.0632489548518375,0.056185729104181056,-0.3643523828449923,1,0.6931471805599453
BID,2022-10-31,neutral,0.0,0.0,0.0,1.0,1,2.223767240788903,0.056439450727031965,0.22509498631389457,1.9986722544750086,1,0.6931471805599453
CEN,2022-10-14,neutral,0.0,0.0,0.0,1.0,1,8.70113769896297,1.028009280448136,0.9089462560708221,7.792191442892149,1,0.6931471805599453
CTG,2022-10-06,neutral,0.0,0.0,0.0,1.0,1,-2.744074615495371,-2.7301377138083933,-3.831697114707695,1.087622499212324,1,0.6931471805599453
CTG,2022-10-26,neutral,0.0,0.0,0.0,1.0,1,-0.22132063626488957,-0.4359493810874788,-0.5313197791529366,0.30999914288804703,1,0.6931471805599453
DGC,2022-10-17,neutral,0.0,0.0,0.0,1.0,1,4.060293841437455,-0.971887485170393,-1.6190983353860795,5.679392176823535,1,0.6931471805599453
DGC,2022-10-20,positive,1.0,0.0,1.0,0.0,1,-3.7500703579020014,-0.15293698579774198,-0.3127245641013483,-3.4373457938006533,1,0.6931471805599453
DGC,2022-10-26,positive,1.0,0.0,1.0,0.0,1,1.7171823755190663,-0.4359493810874788,-0.7641803852263113,2.4813627607453776,1,0.6931471805599453
DIG,2022-10-05,neutral,0.0,0.0,0.0,1.0,1,5.587113625390667,2.393809318952159,4.0166752191432895,1.5704384062473773,1,0.6931471805599453
DIG,2022-10-17,neutral,0.0,0.0,0.0,1.0,1,-4.20288131913882,-0.971887485170393,-1.9158444369536294,-2.2870368821851903,1,0.6931471805599453
DIG,2022-10-18,neutral,0.0,0.0,0.0,1.0,1,6.7041282841470915,1.1421995926185295,1.8105349351636353,4.893593348983456,1,0.6931471805599453
DNP,2022-10-31,positive,1.0,0.0,1.0,0.0,1,0.0,0.056439450727031965,0.04798239088811616,-0.04798239088811616,1,0.6931471805599453
DXG,2022-10-17,neutral,0.0,0.0,0.0,1.0,1,-4.271435329724788,-0.971887485170393,-1.8881208474641284,-2.38331448226066,1,0.6931471805599453
DXG,2022-10-25,neutral,0.0,0.0,0.0,1.0,1,-7.110703717928699,1.1644157069949188,1.766793916655105,-8.877497634583804,1,0.6931471805599453
EIB,2022-10-05,neutral,0.0,0.0,0.0,1.0,1,6.728687164185115,2.393809318952159,0.5251638764134032,6.203523287771712,1,0.6931471805599453
EIB,2022-10-06,neutral,0.0,0.0,0.0,1.0,1,6.137948617192566,-2.7301377138083933,-0.23454419933774268,6.3724928165303085,1,0.6931471805599453
EIB,2022-10-07,neutral,0.0,0.0,0.0,1.0,1,0.6639028534809085,-3.659378275894115,-0.37231915189257464,1.0362220053734832,1,0.6931471805599453
EIB,2022-10-31,neutral,0.0,0.0,0.0,1.0,1,-6.284790365966364,0.056439450727031965,0.17861096445807736,-6.463401330424442,1,0.6931471805599453
FLC,2022-10-03,neutral,0.0,0.0,0.0,1.0,1,,,,,1,0.6931471805599453
FLC,2022-10-05,neutral,0.0,0.0,0.0,1.0,1,,,,,1,0.6931471805599453
FLC,2022-10-06,neutral,0.0,0.0,0.0,1.0,3,,,,,3,1.3862943611198906
FLC,2022-10-13,neutral,0.0,0.0,0.0,1.0,2,,,,,2,1.0986122886681098
FLC,2022-10-17,neutral,0.0,0.0,0.0,1.0,1,,,,,1,0.6931471805599453
FLC,2022-10-19,neutral,0.0,0.0,0.0,1.0,2,,,,,2,1.0986122886681098
FLC,2022-10-20,neutral,0.0,0.0,0.0,1.0,1,,,,,1,0.6931471805599453
FLC,2022-10-21,neutral,0.0,0.0,0.0,1.0,1,,,,,1,0.6931471805599453
FLC,2022-10-24,neutral,0.0,0.0,0.0,1.0,2,,,,,2,1.0986122886681098
FLC,2022-10-25,neutral,0.0,0.0,0.0,1.0,1,,,,,1,0.6931471805599453
FLC,2022-10-27,neutral,0.0,0.0,0.0,1.0,1,,,,,1,0.6931471805599453
FLC,2022-10-31,neutral,0.0,0.0,0.0,1.0,2,,,,,2,1.0986122886681098
FTS,2022-10-06,neutral,0.0,0.0,0.0,1.0,1,-6.272467211770991,-2.7301377138083933,-4.899004978323702,-1.373462233447289,1,0.6931471805599453
FTS,2022-10-21,neutral,0.0,0.0,0.0,1.0,1,-7.145896398214497,-3.7179432686273985,-6.738638223145144,-0.40725817506935336,1,0.6931471805599453
GAS,2022-10-05,neutral,0.0,0.0,0.0,1.0,1,0.9389740349838918,2.393809318952159,2.9029943998254653,-1.9640203648415735,1,0.6931471805599453
GAS,2022-10-12,neutral,0.0,0.0,0.0,1.0,1,0.8433129412522969,2.803697591109357,3.360803477848418,-2.517490536596121,1,0.6931471805599453
GAS,2022-10-24,neutral,0.0,0.0,0.0,1.0,1,0.0,-3.3572947267802746,-3.520481995178785,3.520481995178785,1,0.6931471805599453
GEX,2022-10-17,neutral,0.0,0.0,0.0,1.0,1,0.9409374178927146,-0.971887485170393,-1.7761305676129873,2.717067985505702,1,0.6931471805599453
GEX,2022-10-27,neutral,0.0,0.0,0.0,1.5,2,6.4873585640622204,3.4287037485669907,6.043968154017509,0.443390410044711,3,1.0986122886681098
GEX,2022-10-31,neutral,0.5,0.0,0.0,1.0,2,4.573600932268429,0.056439450727031965,0.05126437313455008,4.522336559133879,2,1.0986122886681098
HAG,2022-10-10,neutral,0.0,0.0,0.0,1.0,1,3.203935374461666,0.6322222377736505,1.1666353607364846,2.0373000137251815,1,0.6931471805599453
HAG,2022-10-13,neutral,0.0,0.0,0.0,1.0,1,2.765153133050995,1.5514742115514746,2.1917932519431726,0.5733598811078222,1,0.6931471805599453
HAG,2022-10-17,negative,-1.0,1.0,0.0,0.0,1,-6.0500251441297825,-0.971887485170393,-0.6222819195596304,-5.427743224570152,1,0.6931471805599453
HAG,2022-10-25,positive,1.0,0.0,1.0,0.0,1,2.239735281302537,1.1644157069949188,1.760142201280631,0.4795930800219059,1,0.6931471805599453
HAG,2022-10-27,positive,0.5,0.0,0.5,0.5,2,6.669137449867235,3.4287037485669907,4.285296152534018,2.383841297333217,2,1.0986122886681098
