surface,ticker,canonical
FLC,FLC,FLC Group
HPG,HPG,Hoa Phat Group
CTG,CTG,VietinBank
EIB,EIB,Eximbank
HAG,HAG,Hoang Anh Gia Lai
HVN,HVN,Vietnam Airlines
LHG,LHG,Long Hau Corporation
TGG,TGG,Truong Giang Investment
TDH,TDH,Thu Duc Housing
ITA,ITA,Itaco
VCB,VCB,Vietcombank
BID,BID,BIDV
TCB,TCB,Techcombank
MBB,MBB,MB Bank
ACB,ACB,ACB
SSI,SSI,SSI Securities
VPS,VPS,VPS Securities
MBS,MBS,MBS Securities
HSC,HCM,Ho Chi Minh City Securities
FPTS,FTS,FPT Securities
VND,VND,VNDIRECT
VIC,VIC,Vingroup
VHM,VHM,Vinhomes
VRE,VRE,Vincom Retail
GAS,GAS,PVN Gas
MSN,MSN,Masan Group
SAB,SAB,Sabeco
VNM,VNM,Vinamilk
MWG,MWG,Mobile World
POW,POW,Pow Power
PVD,PVD,PV Drilling
PVS,PVS,PTSC
NKG,NKG,Nam Kim Steel
HSG,HSG,Hoa Sen Group
DGC,DGC,Duc Giang Chemicals
PNJ,PNJ,Phu Nhuan Jewelry
DGW,DGW,Digiworld
REE,REE,REE Corporation
KDH,KDH,Khang Dien House
DXG,DXG,Dat Xanh Group
NVL,NVL,Novaland
STB,STB,Sacombank
SHB,SHB,SHB
LPB,LPB,LPBank
OCB,OCB,OCB
GEX,GEX,Gelex
GELEX,GEX,Gelex
VIX,VIX,VIX Securities
FTS,FTS,FPT Securities
